id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t18;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codi3_8x;i3_8x_2;codi3_est;i3_est_2;codi3_otr;i3_otr_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e8;e12;e13;e14;edad_30;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;sn1_1;sn1_7;sn1_2;sn1_3;sn1_4;sn1_5;s2;sn2;sn2_cant;sn4;sn5;sn16;s28;s29;fexp
1289;1;3;7;4;4;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;35000;8750;1;3;17;0;0;0;0;3;1;0;1;1;0;1;2;1;2;2;2;2;2;2;2;0;3;5;2;0;0;309
1289;1;4;7;4;1;1;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;35000;8750;1;3;16;0;0;0;0;0;1;0;1;1;0;1;2;1;2;2;2;2;2;2;2;0;3;5;2;0;0;309
1290;1;1;7;4;36;1;1;2;0;0;1;3;0;0;0;0;0;0;1;29.00;1;2;2;8501;7;2;2;4;41312;0;0;1;1;0;2;0;0;1;13000;1;13000;0;0;2;0;1;13000;2;0;2;0;2;0;2;0;2;0;2;0;1;13000;1;16500;3300;2;0;0;0;13;2;3;36;6;15;1;1;0;1;2;1;2;2;2;2;2;1;1;1;3;5;3;0;0;381
1290;1;2;7;4;31;2;2;2;0;0;1;3;0;0;0;0;0;0;1;12.00;2;0;2;8501;7;2;2;3;41313;0;0;3;1;0;2;0;0;1;3500;1;3500;0;0;2;0;1;3500;2;0;2;0;2;0;2;0;2;0;2;0;1;3500;1;16500;3300;2;0;0;0;7;1;0;31;5;12;1;1;0;1;2;1;2;2;2;2;2;1;2;0;3;5;3;1;3;381
1290;1;3;7;4;11;2;3;0;1;2;3;0;2;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;16500;3300;1;2;3;6;0;0;0;10;2;5;1;1;0;1;2;1;2;2;2;2;2;1;1;1;1;5;1;0;0;381
1290;1;4;7;4;10;1;3;0;1;2;3;0;2;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;16500;3300;1;2;3;4;0;0;0;9;2;3;1;1;0;1;2;1;2;2;2;2;2;2;2;0;3;5;2;0;0;381
1290;1;5;7;4;3;1;3;0;1;2;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16500;3300;1;2;17;0;0;0;0;3;1;0;1;1;0;1;2;1;2;2;2;2;2;1;2;0;1;5;2;0;0;381
1291;1;1;3;4;36;2;1;6;0;0;1;3;0;0;0;0;0;0;2;22.00;2;0;2;8501;7;1;2;4;41311;0;0;1;1;0;2;0;0;1;15000;1;15000;1;8000;2;0;1;23000;2;0;2;0;2;0;2;0;2;0;2;0;1;23000;1;23000;23000;2;0;0;0;13;1;0;36;7;17;2;2;0;1999;2;1;2;2;2;2;2;3;2;0;3;5;2;2;0;256
1292;1;1;7;4;36;2;1;1;0;0;1;1;0;0;0;0;0;0;1;40.00;2;0;2;1400;1;2;2;3;6001;1;1;0;0;0;0;1;1;9;20000;9;20000;0;0;2;0;9;20000;2;0;2;0;2;0;2;0;2;0;2;0;9;20000;9;48000;12000;2;0;0;0;13;2;2;36;6;14;1;1;0;1;4;2;2;2;1;2;2;1;2;0;1;6;1;1;2;256
1292;1;2;7;4;38;1;2;1;0;0;1;1;0;0;0;0;0;0;1;40.00;2;0;2;1400;1;2;2;3;6001;1;1;0;0;0;0;1;1;9;28000;9;28000;0;0;2;0;9;28000;2;0;2;0;2;0;2;0;2;0;2;0;9;28000;9;48000;12000;2;0;0;0;7;1;0;37;5;12;2;2;0;1980;1;2;2;2;2;2;2;1;2;0;1;7;1;0;0;256
1292;1;3;7;4;5;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;48000;12000;1;3;18;0;0;0;0;4;1;0;1;1;0;1;4;2;2;2;1;2;2;1;1;2;3;7;2;0;0;256
1292;1;4;7;4;2;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;48000;12000;1;3;16;0;0;0;0;2;1;0;1;1;0;1;4;2;2;2;1;2;2;1;1;1;3;7;2;0;0;256
1293;1;1;1;4;36;1;1;3;0;0;1;2;0;0;0;0;0;0;1;15.00;1;1;2;7400;5;2;5;1;58132;2;0;0;0;0;0;2;0;1;10000;1;10000;0;0;2;0;1;10000;2;0;2;0;2;0;2;0;2;0;2;0;1;10000;1;10000;10000;2;0;0;0;13;2;4;35;6;16;1;1;0;2009;2;1;2;2;2;2;2;1;1;1;1;6;2;0;0;199
