id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
379;1;3;4;2;3;2;3;1;1;309
380;1;14;4;2;2;2;2;1;1;399
381;1;12;4;2;3;3;3;2;6;208
382;1;6;4;2;1;1;1;1;1;272
383;1;15;4;2;1;1;1;1;1;361
384;1;5;4;2;2;1;2;1;1;271
385;1;11;4;2;1;2;1;2;2;136
386;1;12;4;1;5;2;5;1;3;180
387;1;2;4;2;3;2;3;1;3;134
388;1;11;4;2;2;2;2;1;1;236
389;1;4;4;2;3;3;3;1;4;410
390;1;3;4;2;1;2;1;1;1;86
391;1;2;4;2;2;2;2;1;1;240
392;1;4;4;2;1;2;1;1;1;133
393;1;11;4;2;1;3;1;1;1;141
394;1;2;4;2;3;2;3;1;1;165
395;1;2;4;2;1;2;1;1;1;182
396;1;6;4;2;2;2;2;1;1;341
397;1;4;4;1;4;2;4;1;1;169
398;1;15;4;2;2;2;2;1;1;391
399;1;14;4;2;2;2;2;1;3;206
400;1;14;4;2;1;2;1;1;1;514
401;1;1;4;2;2;2;2;1;1;130
402;1;10;4;2;3;2;1;2;3;89
403;1;15;4;2;2;2;2;1;1;52
404;1;4;4;1;4;2;4;1;3;76
405;1;3;4;2;2;2;2;1;4;383
406;1;6;4;2;1;2;1;2;3;219
407;1;15;4;2;2;1;2;1;3;174
408;1;10;4;2;2;2;2;1;3;200
409;1;14;4;2;3;2;3;1;3;221
410;1;9;3;1;6;3;6;1;3;83
411;1;4;4;2;3;1;3;1;7;64
412;1;11;4;2;2;2;2;1;1;185
413;1;1;3;1;2;3;2;2;3;81
414;1;4;4;2;2;2;2;1;3;132
415;1;7;3;1;2;2;2;2;3;104
416;1;1;4;10;1;2;1;2;3;212
417;1;7;4;2;2;2;2;2;3;202
418;1;4;4;1;2;2;2;2;5;98
419;1;8;4;2;4;2;4;1;3;334
420;1;1;4;2;1;2;1;2;3;222
421;1;10;4;2;3;2;3;1;3;120
422;1;4;3;1;4;3;4;1;6;355
423;1;15;4;1;3;2;3;1;1;293
424;1;14;4;2;1;2;1;2;3;186
425;1;1;3;1;2;2;2;3;5;164
426;1;1;3;1;1;3;1;3;3;146
427;1;7;3;2;1;2;1;3;3;134
428;1;1;4;2;1;2;1;3;3;282
429;1;10;4;2;2;2;2;1;3;173
430;1;15;4;9;3;3;3;1;4;306
431;1;1;4;2;1;2;1;1;1;130
432;1;2;4;2;3;1;3;1;7;197
433;1;2;4;2;1;2;1;2;7;162
434;1;1;4;2;1;2;1;2;3;193
435;1;4;4;2;2;2;2;1;1;110
436;1;10;4;2;3;1;3;1;3;274
437;1;14;4;2;3;2;3;1;3;183
438;1;7;4;2;1;3;1;2;3;296
439;1;1;4;2;2;2;2;1;1;209
440;1;10;4;1;4;2;4;1;2;100
441;1;11;4;2;2;2;2;1;1;312
442;1;3;4;1;1;2;1;1;1;335
443;1;9;4;2;2;2;2;1;3;134
444;1;15;4;2;3;2;3;1;3;175
445;1;13;4;2;2;1;2;1;1;289
446;1;13;4;2;2;1;2;1;1;512
447;1;3;4;2;2;2;2;1;3;154
448;1;14;4;2;2;2;2;1;1;688
449;1;2;4;2;2;2;2;1;3;153
450;1;14;4;2;2;2;2;1;1;350
451;1;10;4;2;4;2;4;1;2;111
452;1;5;4;2;3;2;3;1;3;132
453;1;15;4;2;2;1;2;1;3;233
454;1;1;4;2;2;2;2;1;3;233
455;1;1;4;2;1;2;1;2;3;266
456;1;7;4;2;2;1;2;1;3;210
457;1;1;4;2;3;1;3;1;7;183
458;1;1;4;2;2;2;2;1;1;166
459;1;6;4;2;3;2;3;1;7;277
460;1;2;4;2;2;2;2;1;1;208
461;1;1;4;2;2;2;2;1;2;195
462;1;1;4;2;2;2;2;1;1;228
463;1;3;4;2;2;2;2;1;3;205
464;1;4;4;2;2;2;2;1;2;116
465;1;5;4;2;3;1;3;1;3;261
466;1;3;4;2;2;2;2;1;3;112
467;1;2;4;2;1;2;1;1;1;235
